Artigo,Coautor
"A Component-Based Configuration Framework for Open, Distributed Multimedia Systems",Maurício Magalhães
Indexing Semi-Structured Data for Efficient Handling of Branching Path Expressions,Talles Brito
Indexing Semi-Structured Data for Efficient Handling of Branching Path Expressions,Thiago Ribeiro
A Scalable Neighborhood Discovery Protocol for Infrastructure Wireless Mesh Networks,Mateus Novaes
A Scalable Neighborhood Discovery Protocol for Infrastructure Wireless Mesh Networks,Gustavo Cavalcanti
A Scalable Neighborhood Discovery Protocol for Infrastructure Wireless Mesh Networks,Daniel Porto
A management and configuration infrastructure for RNP’s digital video distribution service,Fernando Luiz de Almeida
A management and configuration infrastructure for RNP’s digital video distribution service,Glêdson Elias da Silveira
A management and configuration infrastructure for RNP’s digital video distribution service,Guido Lemos de Souza Filho
A management and configuration infrastructure for RNP’s digital video distribution service,Graça Bressan
A Component Interconnection Model for Interactive Digital Television,CE Silva
A Component Interconnection Model for Interactive Digital Television,AB Lopes
A Component Interconnection Model for Interactive Digital Television,G Elias
A Component Interconnection Model for Interactive Digital Television,G Lemos
A Component Interconnection Model for Interactive Digital Television,M Magalhães
ComponentForge: Um Framework Arquitetural para Desenvolvimento Distribuído Baseado em Componentes. VI Workshop de Desenvolvimento Baseado em Componentes. Recife-PE,João Paulo F Oliveira
ComponentForge: Um Framework Arquitetural para Desenvolvimento Distribuído Baseado em Componentes. VI Workshop de Desenvolvimento Baseado em Componentes. Recife-PE,Michael Schuenck Santos
Um serviço CORBA para Descoberta de Componentes,Nélio Cacho
Um serviço CORBA para Descoberta de Componentes,Thais Batista
"A quantitative, evidence-based approach for recommending software modules",Thaís Burity
Large software component repositories into small index files,Marcos Paulo Paixão
Large software component repositories into small index files,Leila Silva
Large software component repositories into small index files,Talles Brito
A search service for software components based on a semi-structured data representation model,Talles Brito Brito
A search service for software components based on a semi-structured data representation model,Hugo Nobrega
A search service for software components based on a semi-structured data representation model,Thiago Ribeiro
Análise de Repositórios de Componentes para a Identificação das Soluções mais Adotadas,Michael Schuenck
Análise de Repositórios de Componentes para a Identificação das Soluções mais Adotadas,Carla Tanure
Análise de Repositórios de Componentes para a Identificação das Soluções mais Adotadas,José Jorge L Dias Jr
Análise de Repositórios de Componentes para a Identificação das Soluções mais Adotadas,Sindolfo Miranda
Análise de Repositórios de Componentes para a Identificação das Soluções mais Adotadas,Yuri Negócio
"A component-based configuration and management framework for open, distributed multimedia systems",Adilson Lopes
"A component-based configuration and management framework for open, distributed multimedia systems",Frederico Borelli
"A component-based configuration and management framework for open, distributed multimedia systems",Maurício F Magalhaes
Cosmos: Um Framework para Configuração e Gerenciamento de Sistemas Multimídia Distribuídos Abertos,AB Lopes
Cosmos: Um Framework para Configuração e Gerenciamento de Sistemas Multimídia Distribuídos Abertos,G Elias
Cosmos: Um Framework para Configuração e Gerenciamento de Sistemas Multimídia Distribuídos Abertos,M Magalhães
A metacomponent model to support the extensibility and evolvability of networked applications,Glêdson Elias Da Silveira
A metacomponent model to support the extensibility and evolvability of networked applications,Silvio Lemos Meira
Selection and allocation of people based on technical and personality profiles for software development projects,Jorcyane Araújo Lima
"A Multi-Objective, Risk-based Approach for Selecting Software Requirements.",Aruan G Amaral
An ontology for the recommendation of technically qualified teams in distributed software projects,Larissa Barbosa
Suporte à Certificação de Componentes no Modelo de Representação X-ARM,Michael Schuenck
"Sharing Software Components Using a Service-Oriented, Distributed and Secure Infrastructure",Joao Paulo F de Oliveira
"Sharing Software Components Using a Service-Oriented, Distributed and Secure Infrastructure",Michael Schuenck
X-ARM: A step towards reuse of commercial and open source components,Michael Schuenck
X-ARM: A step towards reuse of commercial and open source components,Yuri Negócio
X-ARM: A step towards reuse of commercial and open source components,Sindolfo Miranda
X-ARM: A step towards reuse of commercial and open source components,Jorge Dias
X-ARM: A step towards reuse of commercial and open source components,Gustavo Cavalcanti
"Improving reuse of off-the-shelf components with shared, distributed component repository systems",Jorge Dias
"Improving reuse of off-the-shelf components with shared, distributed component repository systems",Sindolfo Miranda Filho
"Improving reuse of off-the-shelf components with shared, distributed component repository systems",Gustavo Cavalcanti
"Improving reuse of off-the-shelf components with shared, distributed component repository systems",Michael Schuenck
"Improving reuse of off-the-shelf components with shared, distributed component repository systems",Yuri Negócio
Uma arquitetura de Middleware para sistemas de televisão interativa,Frederico Borelli SOUSA
CoDelivery: an environment for distribution of reusable components,Gledson Elias da Silveira
CoDelivery: an environment for distribution of reusable components,Silvio Lemos Meira
An Automated Approach for Selecting Bugs in Component-Based Software Projects,G Lima
An Automated Approach for Selecting Bugs in Component-Based Software Projects,G Elias
Uso de Atributos Não-técnicos na Alocação de Equipes em Projetos de Desenvolvimento Distribuído de Software,Bruno Ribeiro
Uma Abordagem Baseada em Lógica Nebulosa para Seleção de Equipes Distribuídas Tecnicamente Qualificadas,Vinicius Souza dos Santos
Customizing message-oriented mobile middleware,Yuri Morais
Towards a mobile middleware product line: A requirement analysis,Yuri Morais
Towards a mobile middleware product line: A requirement analysis,Thaís Burity
"An Extensible, Multi-paradigm Message-oriented Mobile Middleware.",Yuri Morais
Um Modelo de Metadados para Representação de Componentes de Software,Michael Schuenck
Um Modelo de Metadados para Representação de Componentes de Software,Yuri Negócio
Componentforge: Um framework arquitetural para desenvolvimento distribuiçao baseado em componentes,Joao PF de Oliveira
Componentforge: Um framework arquitetural para desenvolvimento distribuiçao baseado em componentes,Michael Schuenck
Uma arquitetura para configuração e gerenciamento de recursos em um Middleware para sistemas de televisão digital interativa,A Lopes
Uma arquitetura para configuração e gerenciamento de recursos em um Middleware para sistemas de televisão digital interativa,Frederico Borelli
Uma arquitetura para configuração e gerenciamento de recursos em um Middleware para sistemas de televisão digital interativa,G Lemos
Uma arquitetura para configuração e gerenciamento de recursos em um Middleware para sistemas de televisão digital interativa,M Magalhães
A Risk-Based Approach for Selecting Software Requirements,Aruan Amaral
Uma Ontologia para Recomendação de Equipes Tecnicamente Qualificadas em Projetos Distribuídos de Software,Larissa Barbosa
"Experimental Evaluation of a Multi-paradigm, Message-Oriented Mobile Middleware",Yuri Morais
Uma Técnica de Indexação de Artefatos de Software Baseada em Dados Semi-Estruturados,Talles Brito
Uma Técnica de Indexação de Artefatos de Software Baseada em Dados Semi-Estruturados,Thiago Ribeiro
Uma Técnica de Indexação de Artefatos de Software Baseada em Dados Semi-Estruturados,Hugo Nóbrega
Um Relato de Experiência com uma Infra-Estrutura para Desenvolvimento Distribuído Baseado em Componentes,JPF Oliveira
Uma Ferramenta de Configuração e Gerenciamento de Serviços de Distribuição de Vídeo Digital,FL Almeida
Uma Ferramenta de Configuração e Gerenciamento de Serviços de Distribuição de Vídeo Digital,GL Souza Filho
A meta-component model for dynamic adaptation support in a middleware system for interactive tv,Adilson Lopes
A meta-component model for dynamic adaptation support in a middleware system for interactive tv,Carlos Silva
A meta-component model for dynamic adaptation support in a middleware system for interactive tv,Maurício F Magalhães
Um Modelo de Interconexão de Componentes e sua Implementação em um Middleware para para Sistemas de Televisão Digital Interativa,C Silva
Um Modelo de Interconexão de Componentes e sua Implementação em um Middleware para para Sistemas de Televisão Digital Interativa,D Oliveira
Um Modelo de Interconexão de Componentes e sua Implementação em um Middleware para para Sistemas de Televisão Digital Interativa,Frederico Lopes
Um Modelo de Interconexão de Componentes e sua Implementação em um Middleware para para Sistemas de Televisão Digital Interativa,Frederico Amaro
Um Modelo de Interconexão de Componentes e sua Implementação em um Middleware para para Sistemas de Televisão Digital Interativa,A Lopes
Um Modelo de Interconexão de Componentes e sua Implementação em um Middleware para para Sistemas de Televisão Digital Interativa,G Elias
Um Modelo de Interconexão de Componentes e sua Implementação em um Middleware para para Sistemas de Televisão Digital Interativa,G Lemos
A Context Data Metamodel for Distributed Middleware Platforms in Smart Cities,Júlio Suzuki Lopes
A Context Data Metamodel for Distributed Middleware Platforms in Smart Cities,Lucas Vale F da Silva
Evaluating an Application Ontology for Recommending Technically Qualified Distributed Development Teams,Larissa Barbosa
"BranchGuide: an indexing technique for efficient, lossless processing of branching path queries",Talles Brito
Simulation-Based Performance Evaluation of the MLSD Protocol for Infrastructure WMNs,Daniel Porto
Usando hill climbing para identificação de componentes de software similares,Antonio Ribeiro
Usando hill climbing para identificação de componentes de software similares,Leila Silva
MLSD: A Network Topology Discovery Protocol for Infrastructure Wireless Mesh Networks,Daniel Porto
A Layered Routing Architecture for Infrastructure Wireless Mesh Networks,Daniel Charles Ferreira Porto
A Layered Routing Architecture for Infrastructure Wireless Mesh Networks,Gustavo Cavalcanti
Turning Large Software Component Repositories into Small Index Files,Marcos Paulo Paixão
Turning Large Software Component Repositories into Small Index Files,Leila Silva
Turning Large Software Component Repositories into Small Index Files,Talles Brito
A component interconnection model for interactive digital television systems,Carlos Silva
A component interconnection model for interactive digital television systems,Adilson B Lopes
A component interconnection model for interactive digital television systems,Guido Lemos
A component interconnection model for interactive digital television systems,Maurício F Magalhães
An Automated Approach for Selecting Web Services,Alysson Alves
Alocando Equipes Distribuídas com base em Aspectos Não-Técnicos,Bruno Ribeiro
Uma Estratégia de Otimização para Agrupamento de Componentes de Software Baseada em DSM,Thaís Alves Burity Pereira
Uma Ferramenta para Propagação da Percepção em Projetos de Software Através de Microblogs,Yuri F Negócio
Uma Ferramenta para Propagação da Percepção em Projetos de Software Através de Microblogs,Hermano T Moura
Uma Ferramenta para Propagação da Percepção em Projetos de Software Através de Microblogs,P Bezerra
Uma Arquitetura de Interconexão de Componentes em Ambientes Multimídia Distribuídos,Adilson Lopes
Uma Arquitetura de Interconexão de Componentes em Ambientes Multimídia Distribuídos,Carlos E Silva
Uma Arquitetura de Interconexão de Componentes em Ambientes Multimídia Distribuídos,Diogo Oliveira
Uma Arquitetura de Interconexão de Componentes em Ambientes Multimídia Distribuídos,Frederico Borelli
Uma Arquitetura de Interconexão de Componentes em Ambientes Multimídia Distribuídos,Guido Lemos
Uma Arquitetura de Interconexão de Componentes em Ambientes Multimídia Distribuídos,Rodrigo Wanderley
Um Ambiente de Execução de Componentes JavaBeans,Juciano Avelino de Araújo
Um Protocolo de Descoberta de Vizinhança Escalável para Redes em Malha Sem Fio Infra-Estruturadas,Daniel Charles F Porto
Um Protocolo de Descoberta de Vizinhança Escalável para Redes em Malha Sem Fio Infra-Estruturadas,Gustavo Cavalcanti
Um Protocolo de Descoberta de Vizinhança Escalável para Redes em Malha Sem Fio Infra-Estruturadas,Mateus N Santos
Suporte a Relacionamentos entre Equipes Distribuídas em um Repositório de Componentes de Software,Yuri Feitosa Negócio
Uma Arquitetura Hierárquica e Distribuída para um Serviço de Distribuição de Vídeo ao Vivo,Gilberto Farias
Uma Arquitetura Hierárquica e Distribuída para um Serviço de Distribuição de Vídeo ao Vivo,Lincoln David Nery
Uma Arquitetura Hierárquica e Distribuída para um Serviço de Distribuição de Vídeo ao Vivo,Guido Lemos
Uma Arquitetura Hierárquica e Distribuída para um Serviço de Distribuição de Vídeo ao Vivo,Luiz Eduardo Leite
Uma Infra-estrutura Colaborativa de Apoio ao Desenvolvimento Distribuído Baseado em Componentes,João Paulo F de Oliveira
Uma Infra-estrutura Colaborativa de Apoio ao Desenvolvimento Distribuído Baseado em Componentes,Talles Brito
Uma Infra-estrutura Colaborativa de Apoio ao Desenvolvimento Distribuído Baseado em Componentes,Yuri Morais
Uma Infra-estrutura Colaborativa de Apoio ao Desenvolvimento Distribuído Baseado em Componentes,Amílcar Soares
Uma Infra-estrutura Colaborativa de Apoio ao Desenvolvimento Distribuído Baseado em Componentes,Adriana E de Oliveira
Uma Infra-estrutura Colaborativa de Apoio ao Desenvolvimento Distribuído Baseado em Componentes,Sebastião Rabelo Jr
Explorando Técnicas de Agrupamento de Dados na Indexação de Repositórios de Componentes de Software,Marcos Paulo Paixão
Explorando Técnicas de Agrupamento de Dados na Indexação de Repositórios de Componentes de Software,Talles Brito
Explorando Técnicas de Agrupamento de Dados na Indexação de Repositórios de Componentes de Software,Leila Silva
"Wireless Mesh Networks 2010 Part 7 ppt Bạn đang xem bản rút gọn của tài liệu. Xem và tải ngay bản đầy đủ của tài liệu tại đây (1.22 MB, 20 trang)",Luận Văn-Báo Cáo
"Wireless Mesh Networks 2010 Part 7 ppt Bạn đang xem bản rút gọn của tài liệu. Xem và tải ngay bản đầy đủ của tài liệu tại đây (1.22 MB, 20 trang)",Kỹ Năng Mềm
"Wireless Mesh Networks 2010 Part 7 ppt Bạn đang xem bản rút gọn của tài liệu. Xem và tải ngay bản đầy đủ của tài liệu tại đây (1.22 MB, 20 trang)",Mẫu Slide
"Wireless Mesh Networks 2010 Part 7 ppt Bạn đang xem bản rút gọn của tài liệu. Xem và tải ngay bản đầy đủ của tài liệu tại đây (1.22 MB, 20 trang)",Kinh Doanh-Tiếp Thị
"Wireless Mesh Networks 2010 Part 7 ppt Bạn đang xem bản rút gọn của tài liệu. Xem và tải ngay bản đầy đủ của tài liệu tại đây (1.22 MB, 20 trang)",Kinh Tế-Quản Lý
"Wireless Mesh Networks 2010 Part 7 ppt Bạn đang xem bản rút gọn của tài liệu. Xem và tải ngay bản đầy đủ của tài liệu tại đây (1.22 MB, 20 trang)",Tài Chính-Ngân Hàng
The static bike relocation problem with multiple vehicles and visits,Anand Subramanian
The static bike relocation problem with multiple vehicles and visits,Güneş Erdoğan
The static bike relocation problem with multiple vehicles and visits,Gilbert Laporte
The vehicle routing problem with service level constraints,Minh Hoàng Hà
The vehicle routing problem with service level constraints,Rafael Martinelli
The vehicle routing problem with service level constraints,Thibaut Vidal
A branch-and-price algorithm for the minimum latency problem,Ruslan Sadykov
A branch-and-price algorithm for the minimum latency problem,Eduardo Uchoa
A hybrid algorithm for the multi-depot heterogeneous dial-a-ride problem,Igor Malheiros
A hybrid algorithm for the multi-depot heterogeneous dial-a-ride problem,Rodrigo Ramalho
A hybrid algorithm for the multi-depot heterogeneous dial-a-ride problem,Bruno Passeti
A hybrid algorithm for the multi-depot heterogeneous dial-a-ride problem,Anand Subramanian
On the exact solution of a large class of parallel machine scheduling problems,Ruslan Sadykov
On the exact solution of a large class of parallel machine scheduling problems,Anand Subramanian
On the exact solution of a large class of parallel machine scheduling problems,Eduardo Uchoa
On the complete set packing and set partitioning polytopes: Properties and rank 1 facets,Artur Pessoa
On the complete set packing and set partitioning polytopes: Properties and rank 1 facets,Fábio Protti
On the complete set packing and set partitioning polytopes: Properties and rank 1 facets,Eduardo Uchoa
A unified exact approach for a broad class of vehicle routing problems with simultaneous pickup and delivery,Rafael Praxedes
A unified exact approach for a broad class of vehicle routing problems with simultaneous pickup and delivery,Anand Subramanian
A unified exact approach for a broad class of vehicle routing problems with simultaneous pickup and delivery,Eduardo Uchoa
Exact approaches for single machine total weighted tardiness batch scheduling,Artur Alves Pessoa
Exact approaches for single machine total weighted tardiness batch scheduling,Vitor Nesello
Exact approaches for single machine total weighted tardiness batch scheduling,Anand Subramanian
New heuristics for the Bicluster Editing Problem,Gilberto F de Sousa Filho
New heuristics for the Bicluster Editing Problem,Teobaldo L Bulhões Júnior
New heuristics for the Bicluster Editing Problem,Lucidio AF Cabral
New heuristics for the Bicluster Editing Problem,Luiz Satoru Ochi
New heuristics for the Bicluster Editing Problem,Fábio Protti
Branch-and-cut approaches for p-cluster editing,Gilberto F de Sousa Filho
Branch-and-cut approaches for p-cluster editing,Anand Subramanian
Branch-and-cut approaches for p-cluster editing,F Cabral Lucídio dos Anjos
Conference scheduling: A clustering-based approach,Rubens Correia
Conference scheduling: A clustering-based approach,Anand Subramanian
Scheduling the Brazilian OR conference,Rubens Correia
Scheduling the Brazilian OR conference,Anand Subramanian
Scheduling the Brazilian OR conference,Puca Huachi V Penna
Branch-and-price for p-cluster editing,Anand Subramanian
Branch-and-price for p-cluster editing,Gilberto F Sousa Filho
Branch-and-price for p-cluster editing,Lucídio dos Anjos F Cabral
Exact and heuristic algorithms for minimizing the makespan on a single machine scheduling problem with sequence-dependent setup times and release dates,Rafael Morais
Exact and heuristic algorithms for minimizing the makespan on a single machine scheduling problem with sequence-dependent setup times and release dates,Anand Subramanian
A parallel hybrid metaheuristic for bicluster editing,Gilberto F de Sousa Filho
A parallel hybrid metaheuristic for bicluster editing,Teobaldo L Bulhões Júnior
A parallel hybrid metaheuristic for bicluster editing,Lucídio dos Anjos F Cabral
A parallel hybrid metaheuristic for bicluster editing,Luiz Satoru Ochi
A parallel hybrid metaheuristic for bicluster editing,Fábio Protti
A new family of route formulations for split delivery vehicle routing problems,Isaac Balster
A new family of route formulations for split delivery vehicle routing problems,Pedro Munari
A new family of route formulations for split delivery vehicle routing problems,Artur Alves Pessoa
A new family of route formulations for split delivery vehicle routing problems,Ruslan Sadykov
The biclique partitioning polytope,Gilberto F de Sousa Filho
The biclique partitioning polytope,F Cabral Lucídio dos Anjos
The biclique partitioning polytope,Luiz Satoru Ochi
The biclique partitioning polytope,Fábio Protti
The biclique partitioning polytope,Rian GS Pinheiro
An efficient hybrid genetic algorithm for the traveling salesman problem with release dates,Gabriel Soares
An efficient hybrid genetic algorithm for the traveling salesman problem with release dates,Bruno Bruck
Cluster Editing,Fábio Protti
Position and attitude control of multi-rotor aerial vehicles: A survey,Tiago P Nascimento
Position and attitude control of multi-rotor aerial vehicles: A survey,Martin Saska
Robotic mobile fulfillment systems: A survey on recent developments and research opportunities,Ítalo Renan da Costa Barros
Robotic mobile fulfillment systems: A survey on recent developments and research opportunities,Tiago Pereira Nascimento
Nonholonomic mobile robots' trajectory tracking model predictive control: a survey,Tiago P Nascimento
Nonholonomic mobile robots' trajectory tracking model predictive control: a survey,Carlos ET Dórea
Nonholonomic mobile robots' trajectory tracking model predictive control: a survey,Luiz Marcos G Gonçalves
Nonlinear model predictive control for trajectory tracking of nonholonomic mobile robots: A modified approach,Tiago P Nascimento
Nonlinear model predictive control for trajectory tracking of nonholonomic mobile robots: A modified approach,Carlos Eduardo Trabuco Dórea
Nonlinear model predictive control for trajectory tracking of nonholonomic mobile robots: A modified approach,Luiz Marcos G Gonçalves
Multi-robot nonlinear model predictive formation control: Moving target and target absence,Tiago P Nascimento
Multi-robot nonlinear model predictive formation control: Moving target and target absence,António Paulo Moreira
Multi-robot nonlinear model predictive formation control: Moving target and target absence,André G Scolari Conceição
Kalman filter with dynamical setting of optimal process noise covariance,Gabriel F Basso
Kalman filter with dynamical setting of optimal process noise covariance,Thulio Guilherme Silva De Amorim
Kalman filter with dynamical setting of optimal process noise covariance,Alisson V Brito
Kalman filter with dynamical setting of optimal process noise covariance,Tiago P Nascimento
Aerodynamic effects compensation on multi-rotor UAVs based on a neural network control allocation approach,Sarah P Madruga
Aerodynamic effects compensation on multi-rotor UAVs based on a neural network control allocation approach,Augusto HBM Tavares
Aerodynamic effects compensation on multi-rotor UAVs based on a neural network control allocation approach,Saulo OD Luiz
Aerodynamic effects compensation on multi-rotor UAVs based on a neural network control allocation approach,Tiago P do Nascimento
Aerodynamic effects compensation on multi-rotor UAVs based on a neural network control allocation approach,Antonio Marcus N Lima
MRS modular UAV hardware platforms for supporting research in real-world outdoor and indoor environments,Daniel Hert
MRS modular UAV hardware platforms for supporting research in real-world outdoor and indoor environments,Tomas Baca
MRS modular UAV hardware platforms for supporting research in real-world outdoor and indoor environments,Pavel Petracek
MRS modular UAV hardware platforms for supporting research in real-world outdoor and indoor environments,Vit Kratky
MRS modular UAV hardware platforms for supporting research in real-world outdoor and indoor environments,Vojtech Spurny
MRS modular UAV hardware platforms for supporting research in real-world outdoor and indoor environments,Matej Petrlik
MRS modular UAV hardware platforms for supporting research in real-world outdoor and indoor environments,Matous Vrba
MRS modular UAV hardware platforms for supporting research in real-world outdoor and indoor environments,David Zaitlik
MRS modular UAV hardware platforms for supporting research in real-world outdoor and indoor environments,Pavel Stoudek
MRS modular UAV hardware platforms for supporting research in real-world outdoor and indoor environments,Viktor Walter
MRS modular UAV hardware platforms for supporting research in real-world outdoor and indoor environments,Petr Stepan
MRS modular UAV hardware platforms for supporting research in real-world outdoor and indoor environments,Jiri Horyna
MRS modular UAV hardware platforms for supporting research in real-world outdoor and indoor environments,Vaclav Pritzl
MRS modular UAV hardware platforms for supporting research in real-world outdoor and indoor environments,Giuseppe Silano
MRS modular UAV hardware platforms for supporting research in real-world outdoor and indoor environments,Daniel Bonilla Licea
MRS modular UAV hardware platforms for supporting research in real-world outdoor and indoor environments,Petr Stibinger
MRS modular UAV hardware platforms for supporting research in real-world outdoor and indoor environments,Robert Penicka
MRS modular UAV hardware platforms for supporting research in real-world outdoor and indoor environments,Tiago Nascimento
MRS modular UAV hardware platforms for supporting research in real-world outdoor and indoor environments,Martin Saska
Formation control driven by cooperative object tracking,Pedro U Lima
Formation control driven by cooperative object tracking,Aamir Ahmad
Formation control driven by cooperative object tracking,André Dias
Formation control driven by cooperative object tracking,André GS Conceição
Formation control driven by cooperative object tracking,António Paulo Moreira
Formation control driven by cooperative object tracking,Eduardo Silva
Formation control driven by cooperative object tracking,Luis Almeida
Formation control driven by cooperative object tracking,Luis Oliveira
Formation control driven by cooperative object tracking,Tiago P Nascimento
Multi-robot nonlinear model predictive formation control: the obstacle avoidance problem,Tiago P Nascimento
Multi-robot nonlinear model predictive formation control: the obstacle avoidance problem,André GS Conceiçao
Multi-robot nonlinear model predictive formation control: the obstacle avoidance problem,António Paulo Moreira
A novel approach for speed and failure detection in brushless DC motors based on chaos,Ramon LV Medeiros
A novel approach for speed and failure detection in brushless DC motors based on chaos,Abel C Lima Filho
A novel approach for speed and failure detection in brushless DC motors based on chaos,Jorge Gabriel GS Ramos
A novel approach for speed and failure detection in brushless DC motors based on chaos,Tiago P Nascimento
A novel approach for speed and failure detection in brushless DC motors based on chaos,Alisson Vasconcelos Brito
Formation control of unmanned micro aerial vehicles for straitened environments,Martin Saska
Formation control of unmanned micro aerial vehicles for straitened environments,Daniel Hert
Formation control of unmanned micro aerial vehicles for straitened environments,Tomas Baca
Formation control of unmanned micro aerial vehicles for straitened environments,Vit Kratky
Formation control of unmanned micro aerial vehicles for straitened environments,Tiago Nascimento
Experimental evaluation of ROS compatible SLAM algorithms for RGB-D sensors,Bruno MF da Silva
Experimental evaluation of ROS compatible SLAM algorithms for RGB-D sensors,Rodrigo S Xavier
Experimental evaluation of ROS compatible SLAM algorithms for RGB-D sensors,Tiago P do Nascimento
Experimental evaluation of ROS compatible SLAM algorithms for RGB-D sensors,Luiz MG Gonçalves
MRS drone: A modular platform for real-world deployment of aerial multi-robot systems,Daniel Hert
MRS drone: A modular platform for real-world deployment of aerial multi-robot systems,Tomas Baca
MRS drone: A modular platform for real-world deployment of aerial multi-robot systems,Pavel Petracek
MRS drone: A modular platform for real-world deployment of aerial multi-robot systems,Vit Kratky
MRS drone: A modular platform for real-world deployment of aerial multi-robot systems,Robert Penicka
MRS drone: A modular platform for real-world deployment of aerial multi-robot systems,Vojtech Spurny
MRS drone: A modular platform for real-world deployment of aerial multi-robot systems,Matej Petrlik
MRS drone: A modular platform for real-world deployment of aerial multi-robot systems,Matous Vrba
MRS drone: A modular platform for real-world deployment of aerial multi-robot systems,David Zaitlik
MRS drone: A modular platform for real-world deployment of aerial multi-robot systems,Pavel Stoudek
MRS drone: A modular platform for real-world deployment of aerial multi-robot systems,Viktor Walter
MRS drone: A modular platform for real-world deployment of aerial multi-robot systems,Petr Stepan
MRS drone: A modular platform for real-world deployment of aerial multi-robot systems,Jiri Horyna
MRS drone: A modular platform for real-world deployment of aerial multi-robot systems,Vaclav Pritzl
MRS drone: A modular platform for real-world deployment of aerial multi-robot systems,Martin Sramek
MRS drone: A modular platform for real-world deployment of aerial multi-robot systems,Afzal Ahmad
MRS drone: A modular platform for real-world deployment of aerial multi-robot systems,Giuseppe Silano
MRS drone: A modular platform for real-world deployment of aerial multi-robot systems,Daniel Bonilla Licea
MRS drone: A modular platform for real-world deployment of aerial multi-robot systems,Petr Stibinger
MRS drone: A modular platform for real-world deployment of aerial multi-robot systems,Tiago Nascimento
MRS drone: A modular platform for real-world deployment of aerial multi-robot systems,Martin Saska
Perception-driven motion control based on stochastic nonlinear model predictive controllers,Tiago P do Nascimento
Perception-driven motion control based on stochastic nonlinear model predictive controllers,Gabriel F Basso
Perception-driven motion control based on stochastic nonlinear model predictive controllers,Carlos ET Dórea
Perception-driven motion control based on stochastic nonlinear model predictive controllers,Luiz Marcos G Gonçalves
Perception-driven multi-robot formation control,Aamir Ahmad
Perception-driven multi-robot formation control,Tiago Nascimento
Perception-driven multi-robot formation control,André GS Conceiçao
Perception-driven multi-robot formation control,António Paulo Moreira
Perception-driven multi-robot formation control,Pedro Lima
Stairs and doors recognition as natural landmarks based on clouds of 3D edge-points from RGB-D sensors for mobile robot localization,Leonardo AV Souto
Stairs and doors recognition as natural landmarks based on clouds of 3D edge-points from RGB-D sensors for mobile robot localization,André Castro
Stairs and doors recognition as natural landmarks based on clouds of 3D edge-points from RGB-D sensors for mobile robot localization,Luiz Marcos Garcia Gonçalves
Stairs and doors recognition as natural landmarks based on clouds of 3D edge-points from RGB-D sensors for mobile robot localization,Tiago P Nascimento
Landing a UAV in harsh winds and turbulent open waters,Parakh M Gupta
Landing a UAV in harsh winds and turbulent open waters,Éric Pairet
Landing a UAV in harsh winds and turbulent open waters,Tiago Nascimento
Landing a UAV in harsh winds and turbulent open waters,Martin Saska
Side-pull maneuver: A novel control strategy for dragging a cable-tethered load of unknown weight using a UAV,Alexandre S Brandão
Side-pull maneuver: A novel control strategy for dragging a cable-tethered load of unknown weight using a UAV,Daniel Smrcka
Side-pull maneuver: A novel control strategy for dragging a cable-tethered load of unknown weight using a UAV,Éric Pairet
Side-pull maneuver: A novel control strategy for dragging a cable-tethered load of unknown weight using a UAV,Tiago Nascimento
Side-pull maneuver: A novel control strategy for dragging a cable-tethered load of unknown weight using a UAV,Martin Saska
A novel approach for brushless DC motors characterization in drones based on chaos,Ramon L V. Medeiros
A novel approach for brushless DC motors characterization in drones based on chaos,Jorge Gabriel GS Ramos
A novel approach for brushless DC motors characterization in drones based on chaos,Tiago P Nascimento
A novel approach for brushless DC motors characterization in drones based on chaos,Abel C. Lima Filho
A novel approach for brushless DC motors characterization in drones based on chaos,Alisson V Brito
Intelligent state changing applied to multi-robot systems,Tiago P Nascimento
Intelligent state changing applied to multi-robot systems,António Paulo Moreira
Intelligent state changing applied to multi-robot systems,André G Scolari Conceição
Intelligent state changing applied to multi-robot systems,Andrea Bonarini
Self-organized uav flocking based on proximal control,Thulio Amorim
Self-organized uav flocking based on proximal control,Tiago Nascimento
Self-organized uav flocking based on proximal control,Pavel Petracek
Self-organized uav flocking based on proximal control,Giulia De Masi
Self-organized uav flocking based on proximal control,Eliseo Ferrante
Self-organized uav flocking based on proximal control,Martin Saska
A multi-UAV system for detection and elimination of multiple targets,Yurii Stasinchuk
A multi-UAV system for detection and elimination of multiple targets,Matouš Vrba
A multi-UAV system for detection and elimination of multiple targets,Matěj Petrlík
A multi-UAV system for detection and elimination of multiple targets,Tomáš Báča
A multi-UAV system for detection and elimination of multiple targets,Vojtěch Spurný
A multi-UAV system for detection and elimination of multiple targets,Daniel Hert
A multi-UAV system for detection and elimination of multiple targets,David Žaitlík
A multi-UAV system for detection and elimination of multiple targets,Tiago Nascimento
A multi-UAV system for detection and elimination of multiple targets,Martin Saska
Admittance force-based uav-wall stabilization and press exertion for documentation and inspection of historical buildings,Daniel Smrcka
Admittance force-based uav-wall stabilization and press exertion for documentation and inspection of historical buildings,Tomas Baca
Admittance force-based uav-wall stabilization and press exertion for documentation and inspection of historical buildings,Tiago Nascimento
Admittance force-based uav-wall stabilization and press exertion for documentation and inspection of historical buildings,Martin Saska
A multi-layer software architecture for aerial cognitive multi-robot systems in power line inspection tasks,Giuseppe Silano
A multi-layer software architecture for aerial cognitive multi-robot systems in power line inspection tasks,Jan Bednar
